visit_places,rating,city_names,visit_place_summary
1. Borra Caves,"4.6
 /5","18 km  from city center 
 
 1 out of 8 Places To Visit in Araku Valley","The Borra Caves or Borra Guhalu, as is known in the native language were discovered by William King George of the Geological Survey of India in 1807."
2. Katiki Waterfalls,"4.1
 /5","14 km  from city center 
 
 2 out of 8 Places To Visit in Araku Valley","With the clear waters of river Gosthani, this place should be on your go-to list if you are in the area."
3. Chaparai Waterfalls,"3.9
 /5",3 out of 8 Places To Visit in Araku Valley,"At a distance of just 13 km from Araku, the Chaparai waterfalls or the Dumbriguda waterfalls is one of the most popular weekend destinations as well as a much sought after place for the Telugu film industry."
4. Tadimada Waterfalls,,4 out of 8 Places To Visit in Araku Valley,"The Tadimada Waterfalls is a beauty that would make you fall in love with it instantly. Also commonly known as Ananthagiri Waterfalls, the easiest way to experience what nature has to offer here is through hiking."
5. Matsyagundam,,"32 km  from city center 
 
 5 out of 8 Places To Visit in Araku Valley","Popularly known as the fish pool, Matsyagundam near Paderu harbours a variety of fishes and is home to a century-old temple known as Sri Matsyalingeshwara Swamy Temple. With immense potent for tourism, the stream has quite interesting folklore entwined around it."
6. Bheemili Beach,,"78 km  from city center 
 
 6 out of 8 Places To Visit in Araku Valley","Bheemili Beach in Vishakhapatnam District's Araku Valley is located at the origin of River Gosthani, Bheemunipatnam. Remnants of 17th century British and Dutch settlements can be seen here, including a fort and cemetery."
7. Tribal Museum,,"3 km  from city center 
 
 7 out of 8 Places To Visit in Araku Valley","Opened in 1996 by the Andhra Pradesh Tourism Development Corporation, the Araku Tribal Museum depicts the tribal culture of Andhra Pradesh. From utensils, jewellery, hunting tools to wedding photographs, the museum gives a taste of what traditional tribal lives look like."
8. Padmapuram Gardens,"3.6
 /5",8 out of 8 Places To Visit in Araku Valley,"The Padmapuram Gardens is known to be a favourite spot among many tourists who visit Araku Valley.  Boasting variety of species of flora, the garden is home to an exquisite rose garden, treetop huts and a fun toy train for rides around it."
1. Borra Caves,"4.2
 /5","69 km  from city center 
 
 1 out of 27 Places To Visit in Visakhapatnam","With stalactite and stalagmite formations and natural enigma overflowing, Borra Caves are located at 1400 meter above sea level in the Anantagiri area of Visakhapatnam."
2. Submarine Museum,"3.4
 /5","12 km  from city center 
 
 2 out of 27 Places To Visit in Visakhapatnam","During your stroll on the RK Beach, or as you drive past the beach road, you might notice a rather elaborate collection of Submarines. Step down and stop to witness the only Submarine Museum in the entire of Asia."
3. Kailasagiri,"4.1
 /5","15 km  from city center 
 
 3 out of 27 Places To Visit in Visakhapatnam","Located in the scenic locales of Vizag, Kailash Giri is a beautiful hilltop park perched at a height of 360 ft. Sprawling over 100 acres of lush green land area, the park is perched on a hilltop and it offers scenic panoramic vistas of the surroundings and the beach below. The highlight of the place are the magnificent 40 feet statues of Shiva and Parvati painted in white."
4. Rushikonda Beach,"4.1
 /5","21 km  from city center 
 
 4 out of 27 Places To Visit in Visakhapatnam","The Rushikonda Beach is a stunning shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoiled. Rushikonda Beach is thus rightly named the 'Jewel of the East Coast,' owing to its essential and intact beauty. The serene golden sands of the beach are located in the bosom of Rushikonda hill."
5. Yarada Beach,"3.1
 /5","6 km  from city center 
 
 5 out of 27 Places To Visit in Visakhapatnam","Situated on the coast of the Bay of Bengal and located close to Dolphin's nose, the Yarada beach is a quiet beach to chill by the waves, sip that tender coconut water and occasionally play in the water."
6. Ramakrishna Beach,"3.1
 /5","12 km  from city center 
 
 6 out of 27 Places To Visit in Visakhapatnam","One of the most popular beaches of Vishakapatnam, RK beach is a beach for to spend some relaxed time, enjoy strolls across the beach, sunbath and more."
7. Dolphin's Nose,"3.4
 /5","4 km  from city center 
 
 7 out of 27 Places To Visit in Visakhapatnam","Very similar to a dolphins nose, this 174 m high rocky headland is situated in the south of Vizag . The nose seems to be protruding out towards the Bay of Bengal giving it a rather fascinating look."
8. Katiki Waterfalls,"3.4
 /5","70 km  from city center 
 
 8 out of 27 Places To Visit in Visakhapatnam",A distance of 100 steps and a trek of 2 km will take you to a place where a most enchanting sight of Katiki Waterfalls awaits for the tourists.
