visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
borra caves,4.6,araku valley,borra caves borra guhalu known native language discovered william king george geological survey india 1807,18,"['borra', 'caves', 'borra', 'guhalu', 'known', 'native', 'language', 'discovered', 'william', 'king', 'george', 'geological', 'survey', 'india', '1807']"
katiki waterfalls,4.1,araku valley,clear waters river gosthani place goto list area,14,"['clear', 'waters', 'river', 'gosthani', 'place', 'goto', 'list', 'area']"
chaparai waterfalls,3.9,araku valley,distance 13 km araku chaparai waterfalls dumbriguda waterfalls one popular weekend destinations well much sought place telugu film industry,,"['distance', '13', 'km', 'araku', 'chaparai', 'waterfalls', 'dumbriguda', 'waterfalls', 'one', 'popular', 'weekend', 'destinations', 'well', 'much', 'sought', 'place', 'telugu', 'film', 'industry']"
tadimada waterfalls,,araku valley,tadimada waterfalls beauty would make fall love instantly also commonly known ananthagiri waterfalls easiest way experience nature offer hiking,,"['tadimada', 'waterfalls', 'beauty', 'would', 'make', 'fall', 'love', 'instantly', 'also', 'commonly', 'known', 'ananthagiri', 'waterfalls', 'easiest', 'way', 'experience', 'nature', 'offer', 'hiking']"
matsyagundam,,araku valley,popularly known fish pool matsyagundam near paderu harbours variety fishes home centuryold temple known sri matsyalingeshwara swamy temple immense potent tourism stream quite interesting folklore entwined around,32,"['popularly', 'known', 'fish', 'pool', 'matsyagundam', 'near', 'paderu', 'harbours', 'variety', 'fishes', 'home', 'centuryold', 'temple', 'known', 'sri', 'matsyalingeshwara', 'swamy', 'temple', 'immense', 'potent', 'tourism', 'stream', 'quite', 'interesting', 'folklore', 'entwined', 'around']"
bheemili beach,,araku valley,bheemili beach vishakhapatnam districts araku valley located origin river gosthani bheemunipatnam remnants 17th century british dutch settlements seen including fort cemetery,78,"['bheemili', 'beach', 'vishakhapatnam', 'districts', 'araku', 'valley', 'located', 'origin', 'river', 'gosthani', 'bheemunipatnam', 'remnants', '17th', 'century', 'british', 'dutch', 'settlements', 'seen', 'including', 'fort', 'cemetery']"
tribal museum,,araku valley,opened 1996 andhra pradesh tourism development corporation araku tribal museum depicts tribal culture andhra pradesh utensils jewellery hunting tools wedding photographs museum gives taste traditional tribal lives look like,3,"['opened', '1996', 'andhra', 'pradesh', 'tourism', 'development', 'corporation', 'araku', 'tribal', 'museum', 'depicts', 'tribal', 'culture', 'andhra', 'pradesh', 'utensils', 'jewellery', 'hunting', 'tools', 'wedding', 'photographs', 'museum', 'gives', 'taste', 'traditional', 'tribal', 'lives', 'look', 'like']"
padmapuram gardens,3.6,araku valley,padmapuram gardens known favourite spot among many tourists visit araku valley boasting variety species flora garden home exquisite rose garden treetop huts fun toy train rides around,,"['padmapuram', 'gardens', 'known', 'favourite', 'spot', 'among', 'many', 'tourists', 'visit', 'araku', 'valley', 'boasting', 'variety', 'species', 'flora', 'garden', 'home', 'exquisite', 'rose', 'garden', 'treetop', 'huts', 'fun', 'toy', 'train', 'rides', 'around']"
borra caves,4.2,visakhapatnam,stalactite stalagmite formations natural enigma overflowing borra caves located 1400 meter sea level anantagiri area visakhapatnam,69,"['stalactite', 'stalagmite', 'formations', 'natural', 'enigma', 'overflowing', 'borra', 'caves', 'located', '1400', 'meter', 'sea', 'level', 'anantagiri', 'area', 'visakhapatnam']"
submarine museum,3.4,visakhapatnam,stroll rk beach drive past beach road might notice rather elaborate collection submarines step stop witness submarine museum entire asia,12,"['stroll', 'rk', 'beach', 'drive', 'past', 'beach', 'road', 'might', 'notice', 'rather', 'elaborate', 'collection', 'submarines', 'step', 'stop', 'witness', 'submarine', 'museum', 'entire', 'asia']"
kailasagiri,4.1,visakhapatnam,located scenic locales vizag kailash giri beautiful hilltop park perched height 360 ft sprawling 100 acres lush green land area park perched hilltop offers scenic panoramic vistas surroundings beach highlight place magnificent 40 feet statues shiva parvati painted white,15,"['located', 'scenic', 'locales', 'vizag', 'kailash', 'giri', 'beautiful', 'hilltop', 'park', 'perched', 'height', '360', 'ft', 'sprawling', '100', 'acres', 'lush', 'green', 'land', 'area', 'park', 'perched', 'hilltop', 'offers', 'scenic', 'panoramic', 'vistas', 'surroundings', 'beach', 'highlight', 'place', 'magnificent', '40', 'feet', 'statues', 'shiva', 'parvati', 'painted', 'white']"
rushikonda beach,4.1,visakhapatnam,rushikonda beach stunning shore located coast bay bengal vishakhapatnam indian state andhra pradesh aptdc charge natural beauty done great job upkeep beach ensured natural attraction remains unspoiled rushikonda beach thus rightly named jewel east coast owing essential intact beauty serene golden sands beach located bosom rushikonda hill,21,"['rushikonda', 'beach', 'stunning', 'shore', 'located', 'coast', 'bay', 'bengal', 'vishakhapatnam', 'indian', 'state', 'andhra', 'pradesh', 'aptdc', 'charge', 'natural', 'beauty', 'done', 'great', 'job', 'upkeep', 'beach', 'ensured', 'natural', 'attraction', 'remains', 'unspoiled', 'rushikonda', 'beach', 'thus', 'rightly', 'named', 'jewel', 'east', 'coast', 'owing', 'essential', 'intact', 'beauty', 'serene', 'golden', 'sands', 'beach', 'located', 'bosom', 'rushikonda', 'hill']"
yarada beach,3.1,visakhapatnam,situated coast bay bengal located close dolphins nose yarada beach quiet beach chill waves sip tender coconut water occasionally play water,6,"['situated', 'coast', 'bay', 'bengal', 'located', 'close', 'dolphins', 'nose', 'yarada', 'beach', 'quiet', 'beach', 'chill', 'waves', 'sip', 'tender', 'coconut', 'water', 'occasionally', 'play', 'water']"
ramakrishna beach,3.1,visakhapatnam,one popular beaches vishakapatnam rk beach beach spend relaxed time enjoy strolls across beach sunbath,12,"['one', 'popular', 'beaches', 'vishakapatnam', 'rk', 'beach', 'beach', 'spend', 'relaxed', 'time', 'enjoy', 'strolls', 'across', 'beach', 'sunbath']"
dolphin's nose,3.4,visakhapatnam,similar dolphins nose 174 high rocky headland situated south vizag nose seems protruding towards bay bengal giving rather fascinating look,4,"['similar', 'dolphins', 'nose', '174', 'high', 'rocky', 'headland', 'situated', 'south', 'vizag', 'nose', 'seems', 'protruding', 'towards', 'bay', 'bengal', 'giving', 'rather', 'fascinating', 'look']"
katiki waterfalls,3.4,visakhapatnam,distance 100 steps trek 2 km take place enchanting sight katiki waterfalls awaits tourists,70,"['distance', '100', 'steps', 'trek', '2', 'km', 'take', 'place', 'enchanting', 'sight', 'katiki', 'waterfalls', 'awaits', 'tourists']"
matsyadarshini aquarium,3.1,visakhapatnam,initiative visakhapatnam municipal corporation matsyadarshini beautiful aquarium houses countless species fresh salt water marine life captured glass tanks,11,"['initiative', 'visakhapatnam', 'municipal', 'corporation', 'matsyadarshini', 'beautiful', 'aquarium', 'houses', 'countless', 'species', 'fresh', 'salt', 'water', 'marine', 'life', 'captured', 'glass', 'tanks']"
indira gandhi zoological park,3.6,visakhapatnam,indira gandhi zoological park located amidst kambalakonda reserve forest visakhapatnam andhra pradesh declared open public 19 may 1977 park offers number exhibits 80 species mammals birds reptiles zoo park differentiated sections primates carnivores lesser carnivores small mammals reptiles ungulates birds caged natural ambiance situated amidst scenic eastern ghats india park quite pictueresque one,16,"['indira', 'gandhi', 'zoological', 'park', 'located', 'amidst', 'kambalakonda', 'reserve', 'forest', 'visakhapatnam', 'andhra', 'pradesh', 'declared', 'open', 'public', '19', 'may', '1977', 'park', 'offers', 'number', 'exhibits', '80', 'species', 'mammals', 'birds', 'reptiles', 'zoo', 'park', 'differentiated', 'sections', 'primates', 'carnivores', 'lesser', 'carnivores', 'small', 'mammals', 'reptiles', 'ungulates', 'birds', 'caged', 'natural', 'ambiance', 'situated', 'amidst', 'scenic', 'eastern', 'ghats', 'india', 'park', 'quite', 'pictueresque', 'one']"
vuda park (taraka rama),3.1,visakhapatnam,visakhapatnam urban development authority vuda park popular attraction visakhapatnam favorite amongst tourists one main attractions musical waterfall,14,"['visakhapatnam', 'urban', 'development', 'authority', 'vuda', 'park', 'popular', 'attraction', 'visakhapatnam', 'favorite', 'amongst', 'tourists', 'one', 'main', 'attractions', 'musical', 'waterfall']"
simhachalam temple,3.6,visakhapatnam,per belief hindu religion east facing entrance brings luck prosperity west one brings victory luckily simhachalam temple faces west temple situated among hills covered cashew trees shrubs mango groves many pilgrims undertake journey hill important auspicious days neighbourhoods near pilgrimage include srinivasanagar prahladapuram sainagar colony simhapuri colony simhapuri layout journey often extends night route around 40 kilometres pilgrims visit temple bestow offerings auspicious deities,9,"['per', 'belief', 'hindu', 'religion', 'east', 'facing', 'entrance', 'brings', 'luck', 'prosperity', 'west', 'one', 'brings', 'victory', 'luckily', 'simhachalam', 'temple', 'faces', 'west', 'temple', 'situated', 'among', 'hills', 'covered', 'cashew', 'trees', 'shrubs', 'mango', 'groves', 'many', 'pilgrims', 'undertake', 'journey', 'hill', 'important', 'auspicious', 'days', 'neighbourhoods', 'near', 'pilgrimage', 'include', 'srinivasanagar', 'prahladapuram', 'sainagar', 'colony', 'simhapuri', 'colony', 'simhapuri', 'layout', 'journey', 'often', 'extends', 'night', 'route', 'around', '40', 'kilometres', 'pilgrims', 'visit', 'temple', 'bestow', 'offerings', 'auspicious', 'deities']"
lambasingi,,visakhapatnam,fondly called ‘ kashmir andhra pradesh ’ lambasingi quaint hamlet nestled chintapalli mandal richly forested arakku valley elevation 1025 sea level best kept secrets andhra pradesh dainty village known majestic hills apple orchards panoramic views adjoining valleys also known korra bayalu village place south india experiences snowfall temperatures drop significantly besides abundant natural beauty gorgeous views towering hills meandering rivers village also offers plethora adventure activities try hand looking chilling temperature pale mists colourful gardens prolific natural beauty know head,78,"['fondly', 'called', '‘', 'kashmir', 'andhra', 'pradesh', '’', 'lambasingi', 'quaint', 'hamlet', 'nestled', 'chintapalli', 'mandal', 'richly', 'forested', 'arakku', 'valley', 'elevation', '1025', 'sea', 'level', 'best', 'kept', 'secrets', 'andhra', 'pradesh', 'dainty', 'village', 'known', 'majestic', 'hills', 'apple', 'orchards', 'panoramic', 'views', 'adjoining', 'valleys', 'also', 'known', 'korra', 'bayalu', 'village', 'place', 'south', 'india', 'experiences', 'snowfall', 'temperatures', 'drop', 'significantly', 'besides', 'abundant', 'natural', 'beauty', 'gorgeous', 'views', 'towering', 'hills', 'meandering', 'rivers', 'village', 'also', 'offers', 'plethora', 'adventure', 'activities', 'try', 'hand', 'looking', 'chilling', 'temperature', 'pale', 'mists', 'colourful', 'gardens', 'prolific', 'natural', 'beauty', 'know', 'head']"
bheemili beach,3.1,visakhapatnam,long beautiful pristine bheemunipatnam beach located assemblage gosthani river bay bengal also houses remains 17th century fort cemetery reveling history dating back dutch era,34,"['long', 'beautiful', 'pristine', 'bheemunipatnam', 'beach', 'located', 'assemblage', 'gosthani', 'river', 'bay', 'bengal', 'also', 'houses', 'remains', '17th', 'century', 'fort', 'cemetery', 'reveling', 'history', 'dating', 'back', 'dutch', 'era']"
war memorial,3.1,visakhapatnam,memorial dedicated victory sea indopak war 1971 renowned war memorial located vizag left beach road facing submarine museum many war related materials displayed including fighter plane missiles bombs tank,13,"['memorial', 'dedicated', 'victory', 'sea', 'indopak', 'war', '1971', 'renowned', 'war', 'memorial', 'located', 'vizag', 'left', 'beach', 'road', 'facing', 'submarine', 'museum', 'many', 'war', 'related', 'materials', 'displayed', 'including', 'fighter', 'plane', 'missiles', 'bombs', 'tank']"
lawson's bay beach,3.1,visakhapatnam,lawsons bay beach considered extension ramakrishan beach often calm serene secluded stretch lush greenery whitish sands majestic sea shallow crystal clear water calm waves ideal swimming sun bathing surfing,14,"['lawsons', 'bay', 'beach', 'considered', 'extension', 'ramakrishan', 'beach', 'often', 'calm', 'serene', 'secluded', 'stretch', 'lush', 'greenery', 'whitish', 'sands', 'majestic', 'sea', 'shallow', 'crystal', 'clear', 'water', 'calm', 'waves', 'ideal', 'swimming', 'sun', 'bathing', 'surfing']"
