visit_places,rating,visit_place_summary,best_time,state_name,no_of_turist_attration,tokenized_summary
araku valley,4.8,araku valley comparatively unexplored hill station mostly visited locals weekend getaway situated 120 kilometres away vishakhapatnam youre tourist looking exclusivity tranquillity vistadome train leaves vishakhapatnam 650 making way 58 tu,september to february,andhra pradesh,8,"['araku', 'valley', 'comparatively', 'unexplored', 'hill', 'station', 'mostly', 'visited', 'locals', 'weekend', 'getaway', 'situated', '120', 'kilometres', 'away', 'vishakhapatnam', 'youre', 'tourist', 'looking', 'exclusivity', 'tranquillity', 'vistadome', 'train', 'leaves', 'vishakhapatnam', '650', 'making', 'way', '58', 'tu']"
visakhapatnam,4.4,visakhapatnam also commonly known vizag one oldest port cities country situated heart andhra pradesh vizag announced state capital andhra pradesh january 31 2023 city known picturesque beaches serene landscape well,september to march,andhra pradesh,27,"['visakhapatnam', 'also', 'commonly', 'known', 'vizag', 'one', 'oldest', 'port', 'cities', 'country', 'situated', 'heart', 'andhra', 'pradesh', 'vizag', 'announced', 'state', 'capital', 'andhra', 'pradesh', 'january', '31', '2023', 'city', 'known', 'picturesque', 'beaches', 'serene', 'landscape', 'well']"
amaravathi,4.9,known capital andhra pradesh amaravathi planned city banks river krishna amaravathi renowned site buddhist stupa semihemispherical structure containing buddhist relics often called abode god,november to march,andhra pradesh,4,"['known', 'capital', 'andhra', 'pradesh', 'amaravathi', 'planned', 'city', 'banks', 'river', 'krishna', 'amaravathi', 'renowned', 'site', 'buddhist', 'stupa', 'semihemispherical', 'structure', 'containing', 'buddhist', 'relics', 'often', 'called', 'abode', 'god']"
gandikota,4.5,endearingly known ‘ grand canyon india ’ gandikota small quaint village kadapa district andhra pradesh flanked river pennar right side village famous spectacular gorges formed river cutting erramala hills narrow valleys,november to february,andhra pradesh,,"['endearingly', 'known', '‘', 'grand', 'canyon', 'india', '’', 'gandikota', 'small', 'quaint', 'village', 'kadapa', 'district', 'andhra', 'pradesh', 'flanked', 'river', 'pennar', 'right', 'side', 'village', 'famous', 'spectacular', 'gorges', 'formed', 'river', 'cutting', 'erramala', 'hills', 'narrow', 'valleys']"
tirupati,4.5,situated chittoor district andhra pradesh tirupati known lord venkateshwara temple one visited pilgrimage centers world also one worlds richest temples known different names tirumala temple tirupati temple tirupati balaji temple tiruma,september to march,andhra pradesh,40,"['situated', 'chittoor', 'district', 'andhra', 'pradesh', 'tirupati', 'known', 'lord', 'venkateshwara', 'temple', 'one', 'visited', 'pilgrimage', 'centers', 'world', 'also', 'one', 'worlds', 'richest', 'temples', 'known', 'different', 'names', 'tirumala', 'temple', 'tirupati', 'temple', 'tirupati', 'balaji', 'temple', 'tiruma']"
vijayawada,3.9,nestled banks river krishna state andhra pradesh vijayawada secondlargest populated city state known ‘ commercial political media capital andhra pradesh ’ city one rapidly growing urban cities india covered hills canals,september to march,andhra pradesh,25,"['nestled', 'banks', 'river', 'krishna', 'state', 'andhra', 'pradesh', 'vijayawada', 'secondlargest', 'populated', 'city', 'state', 'known', '‘', 'commercial', 'political', 'media', 'capital', 'andhra', 'pradesh', '’', 'city', 'one', 'rapidly', 'growing', 'urban', 'cities', 'india', 'covered', 'hills', 'canals']"
anantapur,3.5,anantapuram headquarters anantapur district indian state andhra pradesh anantapuram cosmopolitan city neither village one towns transition confluence past future anantapuram reverberates flashes,november to february,andhra pradesh,12,"['anantapuram', 'headquarters', 'anantapur', 'district', 'indian', 'state', 'andhra', 'pradesh', 'anantapuram', 'cosmopolitan', 'city', 'neither', 'village', 'one', 'towns', 'transition', 'confluence', 'past', 'future', 'anantapuram', 'reverberates', 'flashes']"
srisailam,4.2,srisailam hill town kurnool district andhra pradesh home holy malikarjuna jyotirlinga also one eighteen shakti peethas goddess parvati situated banks river krishna srisailam identified wildlife sanctuary dam,october to february,andhra pradesh,16,"['srisailam', 'hill', 'town', 'kurnool', 'district', 'andhra', 'pradesh', 'home', 'holy', 'malikarjuna', 'jyotirlinga', 'also', 'one', 'eighteen', 'shakti', 'peethas', 'goddess', 'parvati', 'situated', 'banks', 'river', 'krishna', 'srisailam', 'identified', 'wildlife', 'sanctuary', 'dam']"
ananthagiri hills,4.3,set amid eastern ghats ananthagiri hills beautiful retreat 90km away hyderabad city one earliest human habitat areas ananthagiri hill town ancient caves temples medieval fort palaces showcases history area,october to march,andhra pradesh,10,"['set', 'amid', 'eastern', 'ghats', 'ananthagiri', 'hills', 'beautiful', 'retreat', '90km', 'away', 'hyderabad', 'city', 'one', 'earliest', 'human', 'habitat', 'areas', 'ananthagiri', 'hill', 'town', 'ancient', 'caves', 'temples', 'medieval', 'fort', 'palaces', 'showcases', 'history', 'area']"
kurnool,4.6,place much historical value beautiful surrounding areas kurnool small town andhra pradesh much history left imprints city also known gateway rayalaseema,december to february,andhra pradesh,30,"['place', 'much', 'historical', 'value', 'beautiful', 'surrounding', 'areas', 'kurnool', 'small', 'town', 'andhra', 'pradesh', 'much', 'history', 'left', 'imprints', 'city', 'also', 'known', 'gateway', 'rayalaseema']"
guntur,4.7,known land chillies guntur famous massive chilli market yard asia third populous town andhra pradesh located distance 30kms newly coined capital amaravathi,october to march,andhra pradesh,13,"['known', 'land', 'chillies', 'guntur', 'famous', 'massive', 'chilli', 'market', 'yard', 'asia', 'third', 'populous', 'town', 'andhra', 'pradesh', 'located', 'distance', '30kms', 'newly', 'coined', 'capital', 'amaravathi']"
nellore,4.7,nellore beautiful city lying banks river penna municipal corporation south indian state andhra pradesh anciently known vikrama simhapuri derived name nelluru combination tamil words nel ooru nel stands paddy ooru means place,october to february,andhra pradesh,7,"['nellore', 'beautiful', 'city', 'lying', 'banks', 'river', 'penna', 'municipal', 'corporation', 'south', 'indian', 'state', 'andhra', 'pradesh', 'anciently', 'known', 'vikrama', 'simhapuri', 'derived', 'name', 'nelluru', 'combination', 'tamil', 'words', 'nel', 'ooru', 'nel', 'stands', 'paddy', 'ooru', 'means', 'place']"
lepakshi,4.2,lepakshi small quaint village trail several great kingdoms ruled area located anantpur district andhra pradesh lepakshi located distance 120 km bangalore making great choice one day trip founded 1535 ad maharaja aliya rama raya,september to february,andhra pradesh,4,"['lepakshi', 'small', 'quaint', 'village', 'trail', 'several', 'great', 'kingdoms', 'ruled', 'area', 'located', 'anantpur', 'district', 'andhra', 'pradesh', 'lepakshi', 'located', 'distance', '120', 'km', 'bangalore', 'making', 'great', 'choice', 'one', 'day', 'trip', 'founded', '1535', 'ad', 'maharaja', 'aliya', 'rama', 'raya']"
rajahmundry,4.5,located banks river godavari andhra pradesh officially known rajamahendravaram rajahmundry biggest city east west godavari district state touted one oldest cities india rajahmundry founded 19th century chalukya king,october to march,andhra pradesh,12,"['located', 'banks', 'river', 'godavari', 'andhra', 'pradesh', 'officially', 'known', 'rajamahendravaram', 'rajahmundry', 'biggest', 'city', 'east', 'west', 'godavari', 'district', 'state', 'touted', 'one', 'oldest', 'cities', 'india', 'rajahmundry', 'founded', '19th', 'century', 'chalukya', 'king']"
horsley hills,4.1,located near southwestern border andhra pradesh karnataka horsley hills refers hill station perfect amalgam charms andhra pradesh beauty hills thus often called ooty andhra natural marvel situated astonishing,,andhra pradesh,,"['located', 'near', 'southwestern', 'border', 'andhra', 'pradesh', 'karnataka', 'horsley', 'hills', 'refers', 'hill', 'station', 'perfect', 'amalgam', 'charms', 'andhra', 'pradesh', 'beauty', 'hills', 'thus', 'often', 'called', 'ooty', 'andhra', 'natural', 'marvel', 'situated', 'astonishing']"
rollapadu wildlife sanctuary,4.2,wildlife sanctuary spread across area 614sq kms kurnool district andhra pradesh rollapadu offers visitors journey wild close nature amidst number diverse species flora fauna established 1988 rollapadu especially known home,,andhra pradesh,,"['wildlife', 'sanctuary', 'spread', 'across', 'area', '614sq', 'kms', 'kurnool', 'district', 'andhra', 'pradesh', 'rollapadu', 'offers', 'visitors', 'journey', 'wild', 'close', 'nature', 'amidst', 'number', 'diverse', 'species', 'flora', 'fauna', 'established', '1988', 'rollapadu', 'especially', 'known', 'home']"
lambasingi,,fondly called ‘ kashmir andhra pradesh ’ lambasingi quaint hamlet nestled chintapalli mandal richly forested arakku valley elevation 1025 sea level best kept secrets andhra pradesh dainty village known majestic hills apple orch,,andhra pradesh,,"['fondly', 'called', '‘', 'kashmir', 'andhra', 'pradesh', '’', 'lambasingi', 'quaint', 'hamlet', 'nestled', 'chintapalli', 'mandal', 'richly', 'forested', 'arakku', 'valley', 'elevation', '1025', 'sea', 'level', 'best', 'kept', 'secrets', 'andhra', 'pradesh', 'dainty', 'village', 'known', 'majestic', 'hills', 'apple', 'orch']"
chittoor,4.7,steeped religion devotion architecture chittoor place everyone visit least lifetime,september to february,andhra pradesh,11,"['steeped', 'religion', 'devotion', 'architecture', 'chittoor', 'place', 'everyone', 'visit', 'least', 'lifetime']"
borra caves,4.2,located east coast india borra caves situated ananthagiri hills araku valley visakhapatnam district breath taking hilly terrain beautiful landscape semievergreen moist deciduous forests wild fauna borra caves visual feast,,andhra pradesh,,"['located', 'east', 'coast', 'india', 'borra', 'caves', 'situated', 'ananthagiri', 'hills', 'araku', 'valley', 'visakhapatnam', 'district', 'breath', 'taking', 'hilly', 'terrain', 'beautiful', 'landscape', 'semievergreen', 'moist', 'deciduous', 'forests', 'wild', 'fauna', 'borra', 'caves', 'visual', 'feast']"
bhavani island,4.1,bhavani island one largest islands river located krishna river vijayawada vast expanse island proves perfect place relaxing weekend one adventure sports water slides exhilarating place visit named,,andhra pradesh,,"['bhavani', 'island', 'one', 'largest', 'islands', 'river', 'located', 'krishna', 'river', 'vijayawada', 'vast', 'expanse', 'island', 'proves', 'perfect', 'place', 'relaxing', 'weekend', 'one', 'adventure', 'sports', 'water', 'slides', 'exhilarating', 'place', 'visit', 'named']"
machilipatnam,5.0,port town machelipatnam nestled banks river krishna one popular tourist attractions south india steeped rich historical past town still reflects footprint several foreign invaders country,october to march,andhra pradesh,10,"['port', 'town', 'machelipatnam', 'nestled', 'banks', 'river', 'krishna', 'one', 'popular', 'tourist', 'attractions', 'south', 'india', 'steeped', 'rich', 'historical', 'past', 'town', 'still', 'reflects', 'footprint', 'several', 'foreign', 'invaders', 'country']"
kakinada,3.7,city perfect blend cosmopolitan lifestyle oldworld charm kakinada andhra pradesh blessed best cultures one side showcases rich cultural heritage side leave awe success industrialization architectural grandeu,october to march,andhra pradesh,8,"['city', 'perfect', 'blend', 'cosmopolitan', 'lifestyle', 'oldworld', 'charm', 'kakinada', 'andhra', 'pradesh', 'blessed', 'best', 'cultures', 'one', 'side', 'showcases', 'rich', 'cultural', 'heritage', 'side', 'leave', 'awe', 'success', 'industrialization', 'architectural', 'grandeu']"
konaseema,5.0,surrounded tributaries river godavari magnificent bay bengal konaseema deltaic region east godavari district andhra pradesh area properties matching resplendent kerala backwaters also come called ‘ god ’,november to february,andhra pradesh,,"['surrounded', 'tributaries', 'river', 'godavari', 'magnificent', 'bay', 'bengal', 'konaseema', 'deltaic', 'region', 'east', 'godavari', 'district', 'andhra', 'pradesh', 'area', 'properties', 'matching', 'resplendent', 'kerala', 'backwaters', 'also', 'come', 'called', '‘', 'god', '’']"
