package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Amazing Amaravathi,amaravathi,2,3,8000.0
Alluring Amaravathi and Vijayawada,"amaravathi ,  vijaywada",3,4,10000.0
"Awesome Amaravathi, Vijaywada & Kakinada","amaravathi ,  vijaywada ,  kakinada",4,5,12499.0
Delights of Andhra Pradesh including Amaravathi,"tirupati ,  nellore ,  amaravathi ,  vijaywada ,  kakinada ,  vishakapatnam",6,7,20000.0
Gems of Andhra Pradesh Including Amaravathi and Hyderabad,"tirupati ,  nellore ,  amaravathi ,  vijaywada ,  kakinada ,  vishakapatnam ,  hyderabad",7,8,23500.0
Pilgrimage from Bangalore to Tirupati,"bangalore ,   tirupati",2,3,7000.0
Chennai to Tirupati Tour Package,"chennai  ,   tirupati",2,3,8999.0
Divine Tirumala Tirupati Tour Package,"chennai  ,   tirupati",1,2,4800.0
Bangalore to Tirupati Tour Package,"bangalore ,  tirupati",1,2,6500.0
Tamil Nadu Temple Tour Package,"tiruchi ,   madurai ,   kanyakumari ,   rameswaram ,  tanjore ,   kumbakonam ,   pondicherry ,   chennai ,   tirupati ,   thiruvannamalai",15,16,55500.0
Tirupati Balaji Darshan and Chennai Sightseeing Package,"chennai ,  tirupati",2,3,8000.0
Tirupati 2 Nights Darshan Tour Package,tirupati,2,3,12000.0
Pocket Friendly Tirupati  - Darshan and Sightseeing,tirupati,3,4,3825.0
"Religious Package - Tirupati, Rameshwaram, Madurai and More","kanyakumari  ,   rameshwaram  ,   madurai  ,   tirupati",5,6,6772.0
Quick Darshan at Tirupati,tirupati,2,3,12899.0
Religious Tirupati Darshan and Sightseeing,tirupati,2,3,7078.0
Devotional Lord Ventakeshwara and Goddess Padmawati Darshan,tirupati,2,3,6778.0
Sacred Tirupati Darshan with Sheegra VIP Pass,tirupati,2,3,23399.0
Holy Tirupati and Tirumala - Lord Venkateshwara Darshan,tirupati,2,3,6278.0
Panoramic Tour of South from Trivandrum to Tirupati,"thiruvananthapuram ,   kanyakumari ,   rameswaram ,   madurai ,   tiruchirappalli ,   kumbakkonam ,   tiruvannamalai ,   tirupati",9,10,32000.0
"Srisailam Tour Package with Bangalore, Mysore, ooty","srisailam ,   bangalore ,   mysore ,   ooty",7,8,28100.0
Fascinating Nagarajunakonda,"nagarjunakonda ,  hyderabad",2,3,8500.0
Charming Nagarjunakonda & More,"hyderabad ,  nagarjunakonda ,  amaravathi",3,4,11299.0
Simply Nagarjunakonda,nagarjunakonda,2,3,8000.0
"Captivating Nagarjunakonda, Amaravathi & More","hyderabad ,  nagarjunakonda ,  amaravathi ,  vijayawada",4,5,13000.0
Tawang Tour Itinerary - 5 Nights 6 Days,"guwahati ,   nameri ,   nag mandir ,   tawang ,   dirang",5,6,21445.0
Discover Tawang Arunachal Pradesh Tour Package,"guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",6,7,26640.0
Arunachal Pradesh Tour Package for Family,"bhalukpong  ,   dirang  ,   tawang  ,   bomdila  ,   tezpur",7,8,33222.0
Arunachal Pradesh Tour Itinerary - 8 Nights Package,"guwahati ,   bhalukpong ,   dirang ,   tawang ,   bomdila ,   tezpur ,   itanagar ,   ziro",8,9,37000.0
Fascinating Arunachal Pradesh Tour Itinerary 6 Days,"guwahati ,   bhalukpong ,   bomdila ,   dirang ,   tawang",5,6,23000.0
Assam Tour Itinerary with Jeep Safari,"guwahati ,   kaziranga national park ,   bomdila ,   tawang ,   guwahati",7,8,31500.0
"Offbeat Arunachal Tour Package: Tawang, Nameri, Dirang & More","guwahati ,   kazirang ,   nameri ,   dirang ,   tawang ,   bomdila",9,10,51500.0
Escape to Tawang Dirang and Bomdila Group Package,"bhalukpong ,   dirang ,   tawang ,   bomdila",6,7,19999.0
Assam Meghalaya Arunachal Pradesh Tour Packages,"guwahati ,   shillong ,   kaziranga national park ,   tezpur ,   bomdila ,   tawang ,   dirang ,   bhalukpong ,   guwahati",12,13,62900.0
Shillong Tawang Tour Package - Jewels of North East India with Kaziranga & Dirang,"shillong ,   kaziranga national park ,   dirang ,   tawang ,   bomdila ,   guwahati",9,10,55240.0
Bike Trip to Meghalaya and Arunachal: Exploring the Eastern Himalayas,"shillong ,   mawlynnong ,   cheerapunji ,   bhalukpong ,   tawang ,   shillong",8,9,39250.0
Tawang Adventure Tour Package on Bike,"guwahati ,   bhalukpong ,   tawang ,   zemithang ,   nag mandir",6,7,24500.0
Meghalaya Arunachal Pradesh Tour Packages - Discover the Northeast,"guwahati ,   manas national park ,   shillong ,   cherrapunji ,    mawlynnong ,   tawang",9,10,42250.0
"Northeast Highlights - Shillong, Tawang, Kaziranga & More","shillong ,  bhalukpong ,  dirang ,  tawang ,  bomdila ,  kaziranga ,  guwahati",11,12,58000.0
Best Arunachal Pradesh Tour Packages Including Bhalukpong,"guwahati ,   bhalukpong ,  dirang ,  bomdila ,   tawang ,  tezpur",7,8,32500.0
"Amazing Arunachal Tour - Shillong, Bhalukpong, Dirang and More","shillong ,   bhalukpong ,   dirang ,  tawang ,   bomdila ,  tezpur",8,9,40568.0
Arunachal Pradesh Tour Itinerary 5 Days,"guwahati ,   bhalukpong ,   dirang ,   tawang",4,5,19000.0
Enchanting Honeymoon in Arunachal Pradesh Package,"tezpur ,  dirang ,  tawang ,  bomdila ,  guwahati",6,7,32000.0
"Breathtaking Northeast Honeymoon Special: Meghalaya, Assam, Arunachal","guwahati ,   shillong ,   kaziranga national park ,   tezpur ,   bomdila ,   tawang ,   dirang ,   bhalukpong ,   guwahati",12,13,44000.0
Ultimate Arunachal Pradesh Package,"guwahati ,  bomdila ,  tawang ,   bhalukpong",4,5,22000.0
The Land of Dawn: 7 Nights Tour Package,"dirang ,   tawang ,   bomdila ,   guwahati",7,8,49990.0
5 Days Delight to Arunachal Pradesh Package,"dirang ,   tawang ,   bomdila",4,5,17999.0
Group Tour to Arunachal Pradesh Package,"guwahati ,  dirang ,  tawang ,  bomdila ,  ziro ,   itanagar",7,8,29999.0
9 Days Group Tour Itinerary Package,"bhalukpong ,   dirang ,   tawang ,   bomdila ,   tezpur ,   shillong ,   cherrapunjee",8,9,25999.0
Group Adventure Package to Arunachal Pradesh with Kaziranga,"bhalukpong ,   dirang ,   tawang ,   bomdila ,   kaziranga national park",7,8,22999.0
Majestic Group Tour to Arunachal Pradesh with Shillong and Kaziranga,"dirang ,   tawang ,   bomdila ,   kaziranga national park ,   shillong ,   cherrapunjee",7,8,22999.0
7N/8D Tawang Bomdila Ziro Itanagar Group Tour (4 Persons),"dirang ,   tawang ,   bomdila ,   ziro ,   itanagar",7,8,29999.0
Group Tour to Arunachal Pradesh Package,"guwahati ,  dirang ,  tawang ,  bomdila ,   ziro ,  itanagar",7,8,29999.0
Amazing Tawang for 6 Days,"tawang ,   bomdila ,   guwahati",5,6,12000.0
Best Selling Ziro Tour with Sightseeing,ziro,2,3,7000.0
Ziro Valley Tour Package - 5 Nights 6 Days,"guwahati ,   itanagar ,   ziro ,   itanagar",5,6,22000.0
