visiting_places,visiting_places_rating,distance_from_city_center,cities_name,city_rating,city_type,city_visit_time,no_of_tourist_attration,states_name,state_categories,state_visit_time
borra caves,4.6,18.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
katiki waterfalls,4.1,14.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
chaparai waterfalls,3.9,13.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
tadimada waterfalls,3.57,15.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
matsyagundam,3.57,32.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
bheemili beach,3.57,78.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
tribal museum,3.57,3.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
padmapuram gardens,3.6,15.0,araku valley,4.8,hilly type,autumn_to_winter,8.0,andhra pradesh,commercial_and_technological_state,winter
borra caves,4.2,69.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
submarine museum,3.4,12.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
kailasagiri,4.1,15.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
rushikonda beach,4.1,21.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
yarada beach,3.1,6.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
ramakrishna beach,3.1,12.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
dolphin's nose,3.4,4.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
katiki waterfalls,3.4,70.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
matsyadarshini aquarium,3.1,11.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
indira gandhi zoological park,3.6,16.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
vuda park (taraka rama),3.1,14.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
simhachalam temple,3.6,9.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
lambasingi,3.57,78.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
bheemili beach,3.1,34.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
war memorial,3.1,13.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
lawson's bay beach,3.1,14.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
kambalakonda wildlife sanctuary,3.1,16.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
bojjannakonda,3.57,10.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
ross hill church,3.57,7.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
sagar nagar beach,3.57,17.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
tu 142 aircraft museum,3.57,15.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
tenneti park,3.57,15.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
buddhist excavation,3.1,26.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
gangavaram beach,3.1,8.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
city shopping,3.0,34.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
victory at sea war memorial,3.57,13.0,visakhapatnam,4.4,metropolitan type,autumn_to_winter,27.0,andhra pradesh,commercial_and_technological_state,winter
sri venkateswara temple,3.5,1.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
akasaganga teertham,3.1,12.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
silathoranam,3.1,11.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
swami pushkarini lake,3.1,0.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
city shopping,2.9,1.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
vedadri narasimha swamy temple,3.1,70.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri padmavathi ammavari temple,3.1,1.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
ttd gardens,3.1,4.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
chittoor,3.1,57.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri venkateswara dhyana vignan mandiram,3.2,56.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri govindarajaswami temple,3.57,0.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri varahaswami temple,3.1,10.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri venugopalaswami temple,3.1,24.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
nellore,3.1,12.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
iskcon tirupati,3.57,2.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
tumburu teertham,3.57,8.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
"deer park, tirupati",3.57,5.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
kapila teertham,3.57,2.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
talakona waterfall,3.57,30.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
"rock garden, tirupati",3.57,11.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
japali teertham,3.57,12.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
papavinasam theertham,3.57,3.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
chandragiri palace & fort,3.57,13.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri bedi ananjaneyaswami temple,3.57,10.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
chakra teertham waterfalls,3.57,11.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri venkateswara national park,3.57,6.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
srivari museum,3.57,10.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri veda nayaranaswami temple,3.57,49.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
srivari padalu,3.57,11.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
"regional science centre, tirupati",3.57,3.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
kanipakam,3.57,29.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
vaikuntha teertham,3.57,112.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri kalyana venkateswaraswami temple,3.57,1.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
nagalapuram,3.57,49.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
sri prasanna venkateswaraswami temple,3.57,12.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
kapila theertham,3.57,3.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
highway grand world,3.57,41.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
kodandarama swamy temple,3.57,1.0,tirupati,4.5,spiritual type,autumn_to_winter,40.0,andhra pradesh,commercial_and_technological_state,winter
bhavani island,4.1,9.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
kanaka durga temple,4.1,3.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
undavalli caves,4.2,7.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
kondapalli fort,3.4,18.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
mogalarajapuram caves,3.1,11.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
subramanya swamy temple,3.6,4.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
victoria museum,3.1,2.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
besant road,3.1,2.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
amaravathi,3.1,32.0,vijayawada,3.9,historical type,autumn_to_winter,25.0,andhra pradesh,commercial_and_technological_state,winter
