visit_places,rating,city_names,visit_place_summary
1. Borra Caves,"4.2
 /5","69 km  from city center 
 
 1 out of 27 Places To Visit in Visakhapatnam","With stalactite and stalagmite formations and natural enigma overflowing, Borra Caves are located at 1400 meter above sea level in the Anantagiri area of Visakhapatnam."
2. Submarine Museum,"3.4
 /5","12 km  from city center 
 
 2 out of 27 Places To Visit in Visakhapatnam","During your stroll on the RK Beach, or as you drive past the beach road, you might notice a rather elaborate collection of Submarines. Step down and stop to witness the only Submarine Museum in the entire of Asia."
3. Kailasagiri,"4.1
 /5","15 km  from city center 
 
 3 out of 27 Places To Visit in Visakhapatnam","Located in the scenic locales of Vizag, Kailash Giri is a beautiful hilltop park perched at a height of 360 ft. Sprawling over 100 acres of lush green land area, the park is perched on a hilltop and it offers scenic panoramic vistas of the surroundings and the beach below. The highlight of the place are the magnificent 40 feet statues of Shiva and Parvati painted in white."
4. Rushikonda Beach,"4.1
 /5","21 km  from city center 
 
 4 out of 27 Places To Visit in Visakhapatnam","The Rushikonda Beach is a stunning shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoiled. Rushikonda Beach is thus rightly named the 'Jewel of the East Coast,' owing to its essential and intact beauty. The serene golden sands of the beach are located in the bosom of Rushikonda hill."
5. Yarada Beach,"3.1
 /5","6 km  from city center 
 
 5 out of 27 Places To Visit in Visakhapatnam","Situated on the coast of the Bay of Bengal and located close to Dolphin's nose, the Yarada beach is a quiet beach to chill by the waves, sip that tender coconut water and occasionally play in the water."
6. Ramakrishna Beach,"3.1
 /5","12 km  from city center 
 
 6 out of 27 Places To Visit in Visakhapatnam","One of the most popular beaches of Vishakapatnam, RK beach is a beach for to spend some relaxed time, enjoy strolls across the beach, sunbath and more."
7. Dolphin's Nose,"3.4
 /5","4 km  from city center 
 
 7 out of 27 Places To Visit in Visakhapatnam","Very similar to a dolphins nose, this 174 m high rocky headland is situated in the south of Vizag . The nose seems to be protruding out towards the Bay of Bengal giving it a rather fascinating look."
8. Katiki Waterfalls,"3.4
 /5","70 km  from city center 
 
 8 out of 27 Places To Visit in Visakhapatnam",A distance of 100 steps and a trek of 2 km will take you to a place where a most enchanting sight of Katiki Waterfalls awaits for the tourists.
9. Matsyadarshini Aquarium,"3.1
 /5","11 km  from city center 
 
 9 out of 27 Places To Visit in Visakhapatnam","An initiative of the Visakhapatnam Municipal Corporation, Matsyadarshini is a beautiful aquarium and houses countless species of fresh and salt water marine life captured in glass tanks."
10. Indira Gandhi Zoological Park,"3.6
 /5","16 km  from city center 
 
 10 out of 27 Places To Visit in Visakhapatnam","The Indira Gandhi Zoological Park is located amidst the Kambalakonda Reserve Forest in Visakhapatnam, Andhra Pradesh. Declared open to the public on 19 May 1977, the Park now offers a number of exhibits of more than 80 species of mammals, birds and reptiles. The Zoo Park has differentiated the  sections for primates, carnivores, lesser carnivores, small mammals, reptiles, ungulates and birds, all caged in their natural ambiance. Situated amidst the scenic Eastern Ghats of India, the Park is quite a pictueresque one."
11. VUDA Park (Taraka Rama),"3.1
 /5","14 km  from city center 
 
 11 out of 27 Places To Visit in Visakhapatnam","The Visakhapatnam Urban Development Authority or VUDA park, is a popular attraction in Visakhapatnam and a favorite amongst the tourists. One of its main attractions, here, is a musical waterfall."
