package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
amazing amaravathi,holiday_package,amaravathi,1,short trip,2,3,budget,low-cost apartment,8000.0,['amaravathi'],"['Amazing', 'Amaravathi']"
alluring amaravathi and vijayawada,holiday_package,"amaravathi ,  vijaywada",2,medium trip,3,4,budget,budget hotel,10000.0,"['amaravathi', 'vijaywada']","['Alluring', 'Amaravathi', 'and', 'Vijayawada']"
"awesome amaravathi, vijaywada & kakinada",holiday_package,"amaravathi ,  vijaywada ,  kakinada",3,medium trip,4,5,budget,budget hotel,12499.0,"['amaravathi', 'vijaywada', 'kakinada']","['Awesome', 'Amaravathi', 'Vijaywada', 'Kakinada']"
delights of andhra pradesh including amaravathi,holiday_package,"tirupati ,  nellore ,  amaravathi ,  vijaywada ,  kakinada ,  vishakapatnam",6,medium trip,6,7,standard,3-star hotel,20000.0,"['tirupati', 'nellore', 'amaravathi', 'vijaywada', 'kakinada', 'vishakapatnam']","['Delights', 'of', 'Andhra', 'Pradesh', 'including', 'Amaravathi']"
gems of andhra pradesh including amaravathi and hyderabad,offbeat_package,"tirupati ,  nellore ,  amaravathi ,  vijaywada ,  kakinada ,  vishakapatnam ,  hyderabad",7,long trip,7,8,standard,standard hotel,23500.0,"['tirupati', 'nellore', 'amaravathi', 'vijaywada', 'kakinada', 'vishakapatnam', 'hyderabad']","['Gems', 'of', 'Andhra', 'Pradesh', 'Including', 'Amaravathi', 'and', 'Hyderabad']"
pilgrimage from bangalore to tirupati,spiritual packages,"bangalore ,   tirupati",2,short trip,2,3,budget,low-cost apartment,7000.0,"['bangalore', 'tirupati']","['Pilgrimage', 'from', 'Bangalore', 'to', 'Tirupati']"
chennai to tirupati tour package,spiritual packages,"chennai  ,   tirupati",2,short trip,2,3,budget,low-cost apartment,8999.0,"['chennai', 'tirupati']","['Chennai', 'to', 'Tirupati', 'Tour', 'Package']"
divine tirumala tirupati tour package,spiritual packages,"chennai  ,   tirupati",2,short trip,1,2,budget,low-cost apartment,4800.0,"['chennai', 'tirupati']","['Divine', 'Tirumala', 'Tirupati', 'Tour', 'Package']"
bangalore to tirupati tour package,spiritual packages,"bangalore ,  tirupati",2,short trip,1,2,budget,low-cost apartment,6500.0,"['bangalore', 'tirupati']","['Bangalore', 'to', 'Tirupati', 'Tour', 'Package']"
tirupati balaji darshan and chennai sightseeing package,spiritual packages,"chennai ,  tirupati",2,short trip,2,3,budget,low-cost apartment,8000.0,"['chennai', 'tirupati']","['Tirupati', 'Balaji', 'Darshan', 'and', 'Chennai', 'Sightseeing', 'Package']"
tirupati 2 nights darshan tour package,spiritual packages,tirupati,1,short trip,2,3,budget,low-cost apartment,12000.0,['tirupati'],"['Tirupati', '2', 'Nights', 'Darshan', 'Tour', 'Package']"
pocket friendly tirupati  - darshan and sightseeing,spiritual packages,tirupati,1,medium trip,3,4,budget,budget hotel,3825.0,['tirupati'],"['Pocket', 'Friendly', 'Tirupati', 'Darshan', 'and', 'Sightseeing']"
"religious package - tirupati, rameshwaram, madurai and more",spiritual packages,"kanyakumari  ,   rameshwaram  ,   madurai  ,   tirupati",4,medium trip,5,6,budget,budget hotel,6772.0,"['kanyakumari', 'rameshwaram', 'madurai', 'tirupati']","['Religious', 'Package', 'Tirupati', 'Rameshwaram', 'Madurai', 'and', 'More']"
quick darshan at tirupati,weekend_package,tirupati,1,short trip,2,3,budget,low-cost apartment,12899.0,['tirupati'],"['Quick', 'Darshan', 'at', 'Tirupati']"
religious tirupati darshan and sightseeing,spiritual packages,tirupati,1,short trip,2,3,budget,low-cost apartment,7078.0,['tirupati'],"['Religious', 'Tirupati', 'Darshan', 'and', 'Sightseeing']"
devotional lord ventakeshwara and goddess padmawati darshan,spiritual packages,tirupati,1,short trip,2,3,budget,low-cost apartment,6778.0,['tirupati'],"['Devotional', 'Lord', 'Ventakeshwara', 'and', 'Goddess', 'Padmawati', 'Darshan']"
sacred tirupati darshan with sheegra vip pass,spiritual packages,tirupati,1,short trip,2,3,standard,serviced apartment,23399.0,['tirupati'],"['Sacred', 'Tirupati', 'Darshan', 'with', 'Sheegra', 'VIP', 'Pass']"
holy tirupati and tirumala - lord venkateshwara darshan,spiritual packages,tirupati,1,short trip,2,3,budget,low-cost apartment,6278.0,['tirupati'],"['Holy', 'Tirupati', 'and', 'Tirumala', 'Lord', 'Venkateshwara', 'Darshan']"
panoramic tour of south from trivandrum to tirupati,offbeat_package,"thiruvananthapuram ,   kanyakumari ,   rameswaram ,   madurai ,   tiruchirappalli ,   kumbakkonam ,   tiruvannamalai ,   tirupati",8,long trip,9,10,premium,4-star hotel,32000.0,"['thiruvananthapuram', 'kanyakumari', 'rameswaram', 'madurai', 'tiruchirappalli', 'kumbakkonam', 'tiruvannamalai', 'tirupati']","['Panoramic', 'Tour', 'of', 'South', 'from', 'Trivandrum', 'to', 'Tirupati']"
"srisailam tour package with bangalore, mysore, ooty",holiday_package,"srisailam ,   bangalore ,   mysore ,   ooty",4,long trip,7,8,standard,standard hotel,28100.0,"['srisailam', 'bangalore', 'mysore', 'ooty']","['Srisailam', 'Tour', 'Package', 'with', 'Bangalore', 'Mysore', 'ooty']"
fascinating nagarajunakonda,holiday_package,"nagarjunakonda ,  hyderabad",2,short trip,2,3,budget,low-cost apartment,8500.0,"['nagarjunakonda', 'hyderabad']","['Fascinating', 'Nagarajunakonda']"
charming nagarjunakonda & more,holiday_package,"hyderabad ,  nagarjunakonda ,  amaravathi",3,medium trip,3,4,budget,budget hotel,11299.0,"['hyderabad', 'nagarjunakonda', 'amaravathi']","['Charming', 'Nagarjunakonda', 'More']"
simply nagarjunakonda,holiday_package,nagarjunakonda,1,short trip,2,3,budget,low-cost apartment,8000.0,['nagarjunakonda'],"['Simply', 'Nagarjunakonda']"
"captivating nagarjunakonda, amaravathi & more",holiday_package,"hyderabad ,  nagarjunakonda ,  amaravathi ,  vijayawada",4,medium trip,4,5,budget,budget hotel,13000.0,"['hyderabad', 'nagarjunakonda', 'amaravathi', 'vijayawada']","['Captivating', 'Nagarjunakonda', 'Amaravathi', 'More']"
