category_of_package,count_of_cities,no_of_days,categories_by_price,accommodation_facility,price
holiday_package,1,3,budget,1 star,8000.0
holiday_package,2,4,budget,1 star,10000.0
holiday_package,3,5,budget,1 star,12499.0
holiday_package,6,7,standard,3 star,20000.0
offbeat_package,7,8,standard,3 star,23500.0
spiritual packages,2,3,budget,1 star,7000.0
spiritual packages,2,3,budget,1 star,8999.0
spiritual packages,2,2,budget,1 star,4800.0
spiritual packages,2,2,budget,1 star,6500.0
spiritual packages,2,3,budget,1 star,8000.0
spiritual packages,1,3,budget,1 star,12000.0
spiritual packages,1,4,budget,1 star,3825.0
spiritual packages,4,6,budget,1 star,6772.0
weekend_package,1,3,budget,1 star,12899.0
spiritual packages,1,3,budget,1 star,7078.0
spiritual packages,1,3,budget,1 star,6778.0
spiritual packages,1,3,standard,2 star,23399.0
spiritual packages,1,3,budget,1 star,6278.0
offbeat_package,8,10,premium,4 star,32000.0
holiday_package,4,8,standard,3 star,28100.0
holiday_package,2,3,budget,1 star,8500.0
holiday_package,3,4,budget,1 star,11299.0
holiday_package,1,3,budget,1 star,8000.0
holiday_package,4,5,budget,1 star,13000.0
holiday_package,6,6,standard,3 star,21445.0
holiday_package,5,7,standard,3 star,26640.0
family_package,5,8,premium,4 star,33222.0
holiday_package,8,9,premium,4 star,37000.0
holiday_package,5,6,standard,3 star,23000.0
adventure_package,7,8,premium,4 star,31500.0
offbeat_package,6,10,luxury,5 star,51500.0
family_package,4,7,standard,3 star,19999.0
holiday_package,8,10,luxury,5 star,55240.0
adventure_package,6,9,premium,4 star,39250.0
adventure_package,6,7,standard,3 star,24500.0
holiday_package,8,10,premium,4 star,42250.0
holiday_package,7,12,luxury,5 star,58000.0
holiday_package,6,8,premium,4 star,32500.0
holiday_package,6,9,premium,4 star,40568.0
holiday_package,4,5,standard,3 star,19000.0
honeymoon_package,5,7,premium,5 star,32000.0
holiday_package,4,5,standard,3 star,22000.0
holiday_package,4,8,premium,4 star,49990.0
holiday_package,3,5,standard,3 star,17999.0
family_package,6,8,standard,3 star,29999.0
family_package,7,9,standard,3 star,25999.0
family_package,7,8,standard,3 star,22999.0
family_package,8,8,standard,3 star,22999.0
family_package,5,8,standard,3 star,29999.0
family_package,6,8,standard,3 star,29999.0
holiday_package,3,6,budget,1 star,12000.0
holiday_package,1,3,budget,1 star,7000.0
holiday_package,4,6,standard,3 star,22000.0
holiday_package,2,4,budget,1 star,12428.0
cultural_package,3,7,standard,3 star,27000.0
holiday_package,7,9,premium,4 star,36000.0
holiday_package,5,7,standard,3 star,26640.0
offbeat_package,5,6,budget,1 star,15000.0
holiday_package,7,7,standard,3 star,20000.0
holiday_package,2,4,budget,1 star,10500.0
holiday_package,6,7,standard,3 star,20340.0
nature_package,1,5,budget,1 star,13240.0
holiday_package,2,3,budget,1 star,10000.0
holiday_package,3,3,budget,1 star,8000.0
nature_package,4,4,budget,1 star,12500.0
holiday_package,7,7,standard,3 star,29000.0
holiday_package,4,3,budget,1 star,10900.0
adventure_package,5,5,standard,3 star,19090.0
nature_package,8,7,standard,3 star,26999.0
holiday_package,4,6,standard,3 star,21550.0
nature_package,10,7,standard,3 star,28250.0
nature_package,7,7,standard,3 star,29000.0
nature_package,10,7,premium,5 star,30900.0
luxury_package,4,4,standard,3 star,16500.0
holiday_package,6,7,standard,3 star,28500.0
holiday_package,8,10,luxury,5 star,55240.0
nature_package,7,5,standard,3 star,22700.0
nature_package,4,8,premium,4 star,31000.0
adventure_package,6,8,premium,4 star,35500.0
nature_package,4,4,budget,1 star,12000.0
holiday_package,3,10,premium,4 star,48650.0
nature_package,6,10,premium,4 star,48900.0
family_package,5,5,budget,1 star,12499.0
honeymoon_package,5,6,standard,3 star,18990.0
honeymoon_package,6,7,standard,3 star,24500.0
honeymoon_package,7,7,standard,3 star,26000.0
honeymoon_package,7,7,premium,5 star,30999.0
honeymoon_package,7,7,standard,3 star,24000.0
honeymoon_package,6,7,standard,3 star,24500.0
holiday_package,5,7,standard,3 star,30000.0
family_package,8,7,standard,3 star,26999.0
holiday_package,3,5,standard,3 star,20250.0
holiday_package,6,6,standard,3 star,22750.0
holiday_package,5,7,standard,3 star,26640.0
honeymoon_package,6,7,standard,3 star,27999.0
holiday_package,3,4,budget,1 star,12999.0
holiday_package,6,5,budget,1 star,14500.0
holiday_package,4,7,standard,3 star,24750.0
holiday_package,8,10,premium,4 star,42250.0
holiday_package,3,7,standard,3 star,25600.0
nature_package,10,7,premium,5 star,30900.0
holiday_package,4,5,standard,3 star,17650.0
offbeat_package,6,10,luxury,5 star,51500.0
holiday_package,2,4,budget,1 star,14250.0
holiday_package,5,6,standard,3 star,21900.0
holiday_package,8,9,premium,4 star,42120.0
nature_package,5,4,budget,1 star,13700.0
holiday_package,3,4,budget,1 star,14000.0
holiday_package,6,8,premium,4 star,33250.0
adventure_package,5,8,premium,4 star,32250.0
family_package,3,5,standard,3 star,21250.0
family_package,7,7,standard,3 star,29000.0
honeymoon_package,6,6,standard,3 star,21750.0
adventure_package,5,7,standard,3 star,28500.0
honeymoon_package,8,9,premium,4 star,38120.0
holiday_package,4,7,standard,3 star,24000.0
honeymoon_package,4,5,standard,3 star,19999.0
family_package,3,6,budget,1 star,14499.0
holiday_package,1,3,budget,1 star,6000.0
holiday_package,2,3,budget,1 star,7500.0
holiday_package,5,6,budget,1 star,13500.0
offbeat_package,5,5,budget,1 star,12000.0
holiday_package,3,4,budget,1 star,10000.0
nature_package,2,3,budget,1 star,7800.0
nature_package,6,7,standard,3 star,16500.0
nature_package,6,10,standard,3 star,27000.0
nature_package,6,6,standard,3 star,16000.0
holiday_package,1,3,budget,1 star,7500.0
holiday_package,3,4,budget,1 star,11200.0
holiday_package,3,4,budget,1 star,12000.0
holiday_package,2,3,budget,1 star,7000.0
holiday_package,4,5,budget,1 star,14000.0
holiday_package,4,8,standard,3 star,21000.0
holiday_package,4,5,budget,1 star,14000.0
spiritual packages,4,5,budget,1 star,12800.0
spiritual packages,3,5,standard,3 star,18500.0
holiday_package,3,5,budget,1 star,10450.0
holiday_package,4,4,budget,1 star,15000.0
holiday_package,6,5,standard,3 star,16950.0
spiritual packages,5,6,standard,3 star,21950.0
holiday_package,7,7,premium,5 star,38000.0
holiday_package,4,6,standard,3 star,22000.0
holiday_package,5,5,budget,1 star,13200.0
holiday_package,6,7,standard,3 star,19450.0
holiday_package,4,6,standard,3 star,15450.0
spiritual packages,3,5,budget,1 star,12500.0
holiday_package,2,5,budget,1 star,12000.0
holiday_package,3,4,budget,1 star,9000.0
spiritual packages,3,4,budget,1 star,10000.0
spiritual packages,3,4,budget,1 star,8500.0
cultural_package,3,5,budget,1 star,12500.0
family_package,5,8,standard,3 star,25000.0
holiday_package,7,7,budget,1 star,11400.0
holiday_package,5,6,standard,3 star,18500.0
holiday_package,5,5,budget,1 star,15000.0
holiday_package,3,4,budget,1 star,14350.0
holiday_package,5,5,budget,1 star,8999.0
holiday_package,5,6,standard,3 star,17650.0
cultural_package,5,5,budget,1 star,8500.0
spiritual packages,6,7,standard,3 star,22500.0
holiday_package,8,8,budget,1 star,13000.0
spiritual packages,6,8,budget,1 star,14000.0
spiritual packages,6,6,standard,3 star,19000.0
holiday_package,7,7,standard,3 star,21500.0
spiritual packages,5,5,standard,3 star,15999.0
holiday_package,5,8,standard,3 star,18000.0
holiday_package,3,5,budget,1 star,12500.0
holiday_package,5,8,standard,3 star,25000.0
spiritual packages,6,7,standard,3 star,22500.0
nature_package,2,5,standard,3 star,19500.0
cultural_package,5,5,budget,1 star,8500.0
adventure_package,2,5,standard,3 star,19500.0
holiday_package,8,8,budget,1 star,13000.0
holiday_package,5,6,standard,3 star,17650.0
holiday_package,7,7,budget,1 star,11400.0
holiday_package,1,3,budget,1 star,6500.0
cultural_package,2,4,budget,1 star,14500.0
spiritual packages,6,6,standard,3 star,19000.0
holiday_package,2,4,budget,1 star,14500.0
holiday_package,5,6,standard,3 star,18500.0
holiday_package,3,4,budget,1 star,12000.0
holiday_package,6,8,premium,4 star,36000.0
holiday_package,8,8,standard,3 star,25000.0
offbeat_package,6,7,standard,3 star,21000.0
holiday_package,6,8,standard,3 star,23000.0
cultural_package,2,5,standard,3 star,24633.0
holiday_package,6,8,premium,4 star,36000.0
holiday_package,1,3,budget,1 star,12999.0
luxury_package,1,4,standard,3 star,22000.0
holiday_package,1,3,standard,2 star,16000.0
holiday_package,1,3,budget,1 star,11500.0
holiday_package,1,3,budget,1 star,9000.0
holiday_package,1,2,budget,1 star,5000.0
holiday_package,1,3,budget,1 star,15000.0
holiday_package,2,4,standard,3 star,19250.0
holiday_package,3,6,standard,3 star,25500.0
holiday_package,1,5,budget,1 star,8500.0
holiday_package,4,8,standard,3 star,20000.0
holiday_package,1,3,budget,1 star,11000.0
holiday_package,3,4,standard,3 star,15999.0
holiday_package,7,5,standard,3 star,17999.0
cultural_package,8,9,luxury,5 star,51900.0
holiday_package,1,6,budget,1 star,10000.0
holiday_package,4,8,premium,4 star,36750.0
honeymoon_package,3,6,standard,3 star,22000.0
holiday_package,4,4,standard,3 star,15900.0
family_package,3,4,budget,1 star,13000.0
honeymoon_package,3,6,standard,3 star,25300.0
holiday_package,2,4,budget,1 star,8500.0
adventure_package,6,5,standard,3 star,23590.0
holiday_package,3,6,standard,3 star,23450.0
holiday_package,2,5,standard,3 star,17999.0
budget_package,5,5,standard,3 star,20850.0
holiday_package,4,6,standard,3 star,24800.0
honeymoon_package,4,5,standard,3 star,20670.0
holiday_package,3,5,budget,1 star,12400.0
adventure_package,2,4,budget,1 star,13925.0
nature_package,3,5,standard,3 star,17400.0
holiday_package,1,5,standard,3 star,20999.0
holiday_package,2,5,standard,3 star,15999.0
holiday_package,2,6,budget,1 star,13000.0
holiday_package,3,6,standard,3 star,20250.0
honeymoon_package,3,6,standard,3 star,27500.0
holiday_package,5,9,premium,4 star,43500.0
holiday_package,10,10,premium,4 star,49250.0
family_package,6,8,premium,4 star,33500.0
holiday_package,5,7,premium,5 star,30900.0
holiday_package,7,8,premium,4 star,40500.0
holiday_package,6,10,premium,4 star,45000.0
family_package,2,4,budget,1 star,14800.0
holiday_package,4,4,budget,1 star,12800.0
holiday_package,7,8,premium,4 star,33500.0
holiday_package,3,4,budget,1 star,11500.0
holiday_package,5,7,standard,3 star,29999.0
luxury_package,3,7,standard,3 star,29000.0
nature_package,5,5,standard,3 star,20876.0
holiday_package,6,9,premium,4 star,44000.0
holiday_package,6,10,premium,4 star,47999.0
budget_package,2,5,standard,3 star,22599.0
holiday_package,8,9,luxury,5 star,50900.0
honeymoon_package,3,5,standard,3 star,19999.0
holiday_package,2,6,standard,3 star,22850.0
family_package,4,8,premium,4 star,35999.0
holiday_package,8,7,standard,3 star,26450.0
holiday_package,4,6,budget,1 star,13099.0
holiday_package,3,5,budget,1 star,12400.0
holiday_package,5,4,budget,1 star,14000.0
holiday_package,3,8,premium,4 star,33999.0
holiday_package,4,8,premium,4 star,33499.0
holiday_package,3,7,standard,3 star,30000.0
family_package,3,3,budget,1 star,11750.0
holiday_package,3,4,budget,1 star,14500.0
holiday_package,4,6,standard,3 star,25700.0
holiday_package,6,11,premium,4 star,50000.0
holiday_package,3,3,budget,1 star,11805.0
honeymoon_package,3,6,standard,3 star,25300.0
honeymoon_package,2,5,budget,1 star,13950.0
holiday_package,4,5,standard,3 star,21000.0
holiday_package,6,7,premium,5 star,30898.0
honeymoon_package,3,6,standard,3 star,27500.0
holiday_package,6,10,premium,4 star,48000.0
honeymoon_package,4,7,premium,5 star,31500.0
holiday_package,6,11,luxury,5 star,51000.0
holiday_package,6,11,premium,4 star,40000.0
holiday_package,5,9,premium,4 star,44200.0
offbeat_package,6,7,premium,5 star,31700.0
holiday_package,4,7,premium,5 star,31799.0
honeymoon_package,3,6,standard,3 star,22000.0
holiday_package,2,6,standard,3 star,25800.0
offbeat_package,4,8,premium,4 star,34999.0
honeymoon_package,2,4,budget,1 star,14500.0
honeymoon_package,6,10,luxury,5 star,51500.0
holiday_package,6,3,budget,1 star,11000.0
holiday_package,6,10,luxury,5 star,53499.0
holiday_package,3,4,budget,1 star,14999.0
holiday_package,2,4,budget,1 star,14780.0
holiday_package,2,3,budget,1 star,12800.0
holiday_package,5,5,standard,3 star,17400.0
holiday_package,3,5,standard,3 star,19190.0
holiday_package,2,3,budget,1 star,11599.0
budget_package,2,6,standard,3 star,25624.0
budget_package,3,4,budget,1 star,11999.0
adventure_package,6,5,standard,3 star,18200.0
holiday_package,2,7,premium,5 star,31500.0
holiday_package,4,8,premium,4 star,36500.0
holiday_package,3,4,budget,1 star,14430.0
budget_package,4,9,premium,4 star,40026.0
honeymoon_package,5,8,premium,4 star,35500.0
holiday_package,4,4,budget,1 star,12190.0
nature_package,5,7,premium,5 star,45900.0
honeymoon_package,2,7,standard,3 star,23500.0
honeymoon_package,3,4,budget,1 star,13999.0
honeymoon_package,6,5,standard,3 star,16200.0
honeymoon_package,5,5,standard,3 star,18299.0
honeymoon_package,4,4,budget,1 star,11400.0
honeymoon_package,2,3,budget,1 star,10500.0
honeymoon_package,5,8,premium,4 star,32500.0
honeymoon_package,3,4,budget,1 star,14800.0
honeymoon_package,2,3,budget,1 star,9999.0
honeymoon_package,5,8,standard,3 star,18500.0
holiday_package,2,5,budget,1 star,10000.0
holiday_package,4,4,budget,1 star,14500.0
weekend_package,2,3,budget,1 star,10800.0
holiday_package,3,5,standard,3 star,18000.0
holiday_package,3,6,standard,3 star,20500.0
holiday_package,2,2,budget,1 star,4000.0
holiday_package,3,3,budget,1 star,11500.0
family_package,4,4,budget,1 star,13999.0
holiday_package,5,5,standard,3 star,20299.0
family_package,4,7,premium,5 star,30500.0
spiritual packages,4,6,standard,3 star,23999.0
adventure_package,7,7,premium,5 star,39900.0
nature_package,3,3,budget,1 star,12700.0
adventure_package,9,5,standard,3 star,19399.0
holiday_package,2,2,budget,1 star,9000.0
holiday_package,5,7,standard,3 star,18000.0
holiday_package,2,5,budget,1 star,15000.0
holiday_package,3,6,standard,3 star,15499.0
holiday_package,2,5,budget,1 star,12000.0
holiday_package,3,6,standard,3 star,17000.0
holiday_package,5,10,premium,4 star,31573.0
holiday_package,3,7,standard,3 star,21324.0
honeymoon_package,3,7,budget,1 star,15000.0
holiday_package,3,5,budget,1 star,10000.0
honeymoon_package,2,3,budget,1 star,6199.0
honeymoon_package,4,7,standard,3 star,19500.0
adventure_package,3,5,budget,1 star,12999.0
weekend_package,2,3,budget,1 star,10000.0
holiday_package,2,5,standard,3 star,20000.0
honeymoon_package,2,3,budget,1 star,10800.0
