package_name,duration,city_list,price,persons
Amazing Amaravathi,2 Nights / 3 Days,Amaravathi(2N),"₹ 8,000*
                
                per adult",per adult on twin sharing
Alluring Amaravathi and Vijayawada,3 Nights / 4 Days,Amaravathi(1N) → Vijaywada(2N),"₹ 10,000*
                
                per adult",per adult on twin sharing
"Awesome Amaravathi, Vijaywada & Kakinada",4 Nights / 5 Days,Amaravathi(1N) → Vijaywada(1N) → Kakinada(2N),"₹ 12,499*
                
                per adult",per adult on twin sharing
Delights of Andhra Pradesh including Amaravathi,6 Nights / 7 Days,Tirupati(1N) → Nellore(1N) → Amaravathi(1N) → Vijaywada(1N) → Kakinada(1N) → Vishakapatnam(1N),"₹ 20,000*
                
                per adult",per adult on twin sharing
Gems of Andhra Pradesh Including Amaravathi and Hyderabad,7 Nights / 8 Days,Tirupati(1N) → Nellore(1N) → Amaravathi(1N) → Vijaywada(1N) → Kakinada(1N) → Vishakapatnam(1N) → Hyderabad(1N),"₹ 23,500*
                
                per adult",per adult on twin sharing
Pilgrimage from Bangalore to Tirupati,2 Nights / 3 Days,Bangalore(0N) →  Tirupati(2N),"₹ 7,000*
                
                per adult",per adult on twin sharing
Chennai to Tirupati Tour Package,2 Nights / 3 Days,Chennai (0N) →  Tirupati(2N),"₹ 8,999*
                
                per adult",per adult on twin sharing
Divine Tirumala Tirupati Tour Package,1 Nights / 2 Days,Chennai (0N) →  Tirupati(1N),"₹ 4,800*
                
                per adult",per adult on twin sharing
Bangalore to Tirupati Tour Package,1 Nights / 2 Days,Bangalore(0N) → Tirupati(1N),"₹ 6,500*
                
                per adult",per adult on twin sharing
Tamil Nadu Temple Tour Package,15 Nights / 16 Days,Tiruchi(2N) →  Madurai(2N) →  Kanyakumari(1N) →  Rameswaram(1N) → Tanjore(2N) →  Kumbakonam(2N) →  Pondicherry(1N) →  Chennai(2N) →  Tirupati(1N) →  Thiruvannamalai(1N),"₹ 55,500*
                
                per adult",per adult on twin sharing
Tirupati Balaji Darshan and Chennai Sightseeing Package,2 Nights / 3 Days,Chennai(1N) → Tirupati(1N),"₹ 8,000*
                
                per adult",per adult on twin sharing
Tirupati 2 Nights Darshan Tour Package,2 Nights / 3 Days,Tirupati(2N),"₹ 12,000*
                
                per adult",per adult on twin sharing
Pocket Friendly Tirupati  - Darshan and Sightseeing,3 Nights / 4 Days,Tirupati (3N),"₹ 3,825*
                
                per adult",per adult on twin sharing
"Religious Package - Tirupati, Rameshwaram, Madurai and More",5 Nights / 6 Days,Kanyakumari (1N) →  Rameshwaram (1N) →  Madurai (1N) →  Tirupati (2N),"₹ 6,772*
                
                per adult",per adult on twin sharing
Quick Darshan at Tirupati,2 Nights / 3 Days,Tirupati (2N),"₹ 12,899*
                
                per adult",per adult on twin sharing
Religious Tirupati Darshan and Sightseeing,2 Nights / 3 Days,Tirupati (2N),"₹ 7,078*
                
                per adult",per adult on twin sharing
Devotional Lord Ventakeshwara and Goddess Padmawati Darshan,2 Nights / 3 Days,Tirupati (2N),"₹ 6,778*
                
                per adult",per adult on twin sharing
Sacred Tirupati Darshan with Sheegra VIP Pass,2 Nights / 3 Days,Tirupati (2N),"₹ 23,399*
                
                per adult",per adult on twin sharing
Holy Tirupati and Tirumala - Lord Venkateshwara Darshan,2 Nights / 3 Days,Tirupati (2N),"₹ 6,278*
                
                per adult",per adult on twin sharing
Panoramic Tour of South from Trivandrum to Tirupati,9 Nights / 10 Days,Thiruvananthapuram(1N) →  Kanyakumari(1N) →  Rameswaram(1N) →  Madurai(1N) →  Tiruchirappalli(1N) →  Kumbakkonam(1N) →  Tiruvannamalai(1N) →  Tirupati(2N),"₹ 32,000*
                
                per adult",per adult on twin sharing
"Srisailam Tour Package with Bangalore, Mysore, ooty",7 Nights / 8 Days,Srisailam(2N) →  Bangalore(1N) →  Mysore(1N) →  Ooty(2N),"₹ 28,100*
                
                per adult",per adult on twin sharing
Fascinating Nagarajunakonda,2 Nights / 3 Days,Nagarjunakonda(1N) → Hyderabad(1N),"₹ 8,500*
                
                per adult",per adult on twin sharing
Charming Nagarjunakonda & More,3 Nights / 4 Days,Hyderabad(1N) → Nagarjunakonda(1N) → Amaravathi(1N),"₹ 11,299*
                
                per adult",per adult on twin sharing
Simply Nagarjunakonda,2 Nights / 3 Days,Nagarjunakonda(2N),"₹ 8,000*
                
                per adult",per adult on twin sharing
"Captivating Nagarjunakonda, Amaravathi & More",4 Nights / 5 Days,Hyderabad(1N) → Nagarjunakonda(1N) → Amaravathi(1N) → Vijayawada(1N),"₹ 13,000*
                
                per adult",per adult on twin sharing
Tawang Tour Itinerary - 5 Nights 6 Days,5 Nights / 6 Days,Guwahati(0N) →  Nameri(1N) →  Nag Mandir(1N) →  Tawang(2N) →  Dirang(1N),"₹ 21,445*
                
                per adult",per adult on twin sharing
Discover Tawang Arunachal Pradesh Tour Package,6 Nights / 7 Days,Guwahati(0N) →  Bomdila(1N) →  Tawang(2N) →  Dirang(1N) →  Guwahati(2N),"₹ 26,640*
                
                per adult",per adult on twin sharing
Arunachal Pradesh Tour Package for Family,7 Nights / 8 Days,Bhalukpong (1N) →  Dirang (1N) →  Tawang (3N) →  Bomdila (1N) →  Tezpur (1N),"₹ 33,222*
                
                per adult",per adult on twin sharing
Arunachal Pradesh Tour Itinerary - 8 Nights Package,8 Nights / 9 Days,Guwahati(0N) →  Bhalukpong(1N) →  Dirang(1N) →  Tawang(2N) →  Bomdila(1N) →  Tezpur(1N) →  Itanagar(1N) →  Ziro(1N),"₹ 37,000*
                
                per adult",per adult on twin sharing
