package_name,duration,city_list,price,persons
Delhi Agra Jaipur Tour Package 4 Days,3 Nights / 4 Days,Delhi(1N) →  Agra(1N) →  Jaipur(1N),"₹ 12,900*
                
                per adult",per adult on twin sharing
2 Nights 3 Days Jaipur Agra Tour Package from Delhi,2 Nights / 3 Days,Delhi(0N) →  Agra(1N) →  Jaipur(1N),"₹ 8,500*
                
                per adult",per adult on twin sharing
"Delhi, Agra, Jaipur Tour Package:  Golden Triangle Tour",5 Nights / 6 Days,Delhi(2N) →  Agra(1N) →  Jaipur(2N),"₹ 19,099*
                
                per adult",per adult on twin sharing
Super Saver Delhi Agra Jaipur Varanasi Tour Package,6 Nights / 7 Days,Delhi(1N) →  Jaipur(1N) →  Agra(2N) →  Varanasi(2N),"₹ 24,000*
                
                per adult",per adult on twin sharing
Delhi Agra Jaipur Tour Package 5 Days with Mathura,4 Nights / 5 Days,Delhi(1N) →  Mathura(0N) →  Agra(1N) →  Jaipur(2N),"₹ 18,100*
                
                per adult",per adult on twin sharing
5 Night 6 Days Golden Triangle Tour Package,5 Nights / 6 Days,Delhi(2N) → Agra(1N) → Jaipur(2N) → Delhi(0N),"₹ 20,500*
                
                per adult",per adult on twin sharing
Delhi Mathura Vrindavan Agra Tour Package 3 Days - Sri Krishna-Balaram Mandi,2 Nights / 3 Days,Mathura(2N) → Vrindavan (0N) →  Agra(0N),"₹ 9,500*
                
                per adult",per adult on twin sharing
Vacation Package to Agra & Jaipur from Delhi - Visit Taj Mahal,5 Nights / 6 Days,Delhi(2N) →  Agra(1N) →  Jaipur(2N),"₹ 19,840*
                
                per adult",per adult on twin sharing
Vrindavan & Agra Tour Package - Temple Hopping,2 Nights / 3 Days,Vrindavan(1N) →  Agra(1N),"₹ 8,000*
                
                per adult",per adult on twin sharing
Agra Lucknow & Varanasi Tour - Boat Ride on River Ganges,4 Nights / 5 Days,Delhi(0N) →  Agra(1N) →  Lucknow(1N) →  Varanasi(2N),"₹ 17,650*
                
                per adult",per adult on twin sharing
Vrindavan Tour Package including Agra,3 Nights / 4 Days,Vrindavan(2N) →  Agra(1N),"₹ 9,500*
                
                per adult",per adult on twin sharing
Golden Triangle and Khajuraho Delight - 5 Nights,5 Nights / 6 Days,Agra(1N) →  Gwalior(1N) →  Orchha(1N) →  Khajuraho(2N),"₹ 21,000*
                
                per adult",per adult on twin sharing
Delhi Sightseeing Tour Package: Agra & Ranthambhore National Park,5 Nights / 6 Days,Delhi(2N) →  Ranthambore(2N) →  Agra(1N),"₹ 29,800*
                
                per adult",per adult on twin sharing
Delhi Agra Shimla Manali Tour Package: Offbeat Tour by Car,7 Nights / 8 Days,Delhii(1N) →  Shimla(2N) →  Manali(3N) →  Agra(1N),"₹ 34,999*
                
                per adult",per adult on twin sharing
Royal Golden Triangle Package - 6 Nights,6 Nights / 7 Days,New Delhi(1N) →  Agra(1N) →  Gwalior(1N) →  Orchha(1N) →  Khajuraho(2N),"₹ 25,999*
                
                per adult",per adult on twin sharing
"Pilgrimage & Temple Tour of India: Agra, Mathura & More",8 Nights / 9 Days,Mathura(2N) → Vrindavan(0N) →  Agra(1N) →  Delhi(2N) →  Haridwar(1N) →  Rishikesh(2N),"₹ 32,500*
                
                per adult",per adult on twin sharing
"Spiritual Journey to Agra, Jaipur & Ajmer - 6 Nights",6 Nights / 7 Days,Delhi(1N) →  Agra(1N) →  Jaipur(2N) →  Ajmer(1N) →  Delhi(1N),"₹ 25,000*
                
                per adult",per adult on twin sharing
Delhi Agra 2 Days Tour Package - Taj Mahal,1 Nights / 2 Days,Delhi(0N) →  Agra(1N),"₹ 10,555*
                
                per adult",per adult on twin sharing
Spiritual Triangle of Uttar Pradesh - 3 Nights,3 Nights / 4 Days,Mathura(1N) →  Vrindavan(1N) →  Agra(1N),"₹ 12,500*
                
                per adult",per adult on twin sharing
Delhi Agra Rajasthan Tour Package with Boat Ride on Lake Pichola,13 Nights / 14 Days,Delhi(2N) →  Agra(1N) →  Jaipur(2N) →  Pushkar(1N) →  Udaipur(2N) →  Jodhpur(1N) →  Jaisalmer(2N) →  Bikaner(1N) →  Mandawa(1N),"₹ 56,700*
                
                per adult",per adult on twin sharing
"UP Pilgrimage Group Tour Package: Varanasi, Chitrakoot, Ayodhya & More",10 Nights / 11 Days,Allahabad(1N) →  Chitrakoot(2N) →  Varanasi(2N) →  Ayodhya(1N) →  Haridwar(2N) →  Mathura(2N) →  Vrindavan(0N),"₹ 40,880*
                
                per adult",per adult on twin sharing
"Royal Heritage Tour: Agra, Delhi, Haridwar, & More",6 Nights / 7 Days,Delhi(1N) →  Haridwar(1N) →  Nainital(2N) →  Agra(1N) →  Jaipur(1N),"₹ 21,999*
                
                per adult",per adult on twin sharing
"Triple Fun: Delhi, Agra And Nepal Tour Package",6 Nights / 7 Days,Delhi(2N) →  Agra(1N) →  Kathmandu(3N),"₹ 26,500*
                
                per adult",per adult on twin sharing
Rajasthan Tour Packages 15 Days with Jungle Safari,14 Nights / 15 Days,Jaipur(2N) →  Mandawa(1N) →  Bikaner(1N) →  Jaisalmer(2N) →  Jodhpur(1N) → Mount Abu(1N) →  Udaipur(2N) →  Bundi(1N) →  Ranthambore(1N) →  Bharatpur(1N) →  Agra(1N),"₹ 45,900*
                
                per adult",per adult on twin sharing
Rajasthan 10 Days Itinerary,9 Nights / 10 Days,Udaipur(2N) →  Ranakpur(1N) → Jodhpur(1N) →  Jaisalmer(2N) →  Bikaner(1N) →  Jaipur(2N) →  Agra(1N),"₹ 38,900*
                
                per adult",per adult on twin sharing
Exotic Rajasthan Package with Pushkar Fair,11 Nights / 12 Days,Delhi(2N) →  Agra(1N) →  Jaipur(2N) →  Pushkar(2N) →  Jodhpur(2N) →  Udaipur(2N),"₹ 74,999*
                
                per adult",per adult on twin sharing
Barsana Holi Tour With Rajasthan Trip,11 Nights / 12 Days,Delhi(1N) →  Mathura(2N) →  Jaipur(2N) →  Jodhpur(1N) →  Udaipur(2N) →  Pushkar(1N) →  Agra(2N),"₹ 43,192*
                
                per adult",per adult on twin sharing
